Run,Age,Assay Type,AvgSpotLen,Bases,BIOMATERIAL_PROVIDER,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Instrument,Isolate,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,sample_type,sex,SRA Study,tissue,treatment
SRR14537264,NA,SELEX,101,23246665,"Promega Corporation\, Madison\, WI",PRJNA729962,SAMN19188530,Human,16015674,ST JUDE'S CHILDREN'S HOSPITAL,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10881496,Illumina HiSeq 2000,NA,VDR-RXRA_Rnd3_Lib1,SINGLE,PCR,SYNTHETIC,Homo sapiens,ILLUMINA,2021-05-15T00:00:00Z,VDR-RXRA_Rnd3_Lib1,VDR:RXRA,NA,SRP319847,NA,Round-3 with Lib1
SRR14537265,NA,SELEX,101,97543982,"Promega Corporation\, Madison\, WI",PRJNA729962,SAMN19188529,Human,55870618,ST JUDE'S CHILDREN'S HOSPITAL,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10881495,Illumina HiSeq 2000,NA,PXR_9_Rnd3_Lib1,SINGLE,PCR,SYNTHETIC,Homo sapiens,ILLUMINA,2021-05-15T00:00:00Z,PXR_9_Rnd3_Lib1,PXR,NA,SRP319847,NA,Round-3 with Lib1 and Ligand #9
SRR14537266,NA,SELEX,101,99035752,"Promega Corporation\, Madison\, WI",PRJNA729962,SAMN19188528,Human,54912429,ST JUDE'S CHILDREN'S HOSPITAL,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10881494,Illumina HiSeq 2000,NA,PXR_9_Rnd2_Lib1,SINGLE,PCR,SYNTHETIC,Homo sapiens,ILLUMINA,2021-05-15T00:00:00Z,PXR_9_Rnd2_Lib1,PXR,NA,SRP319847,NA,Round-2 with Lib1 and Ligand #9
SRR14537267,NA,SELEX,101,109433096,"Promega Corporation\, Madison\, WI",PRJNA729962,SAMN19188483,Human,62146056,ST JUDE'S CHILDREN'S HOSPITAL,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10881493,Illumina HiSeq 2000,NA,PGR_Rnd3_Lib1,SINGLE,PCR,SYNTHETIC,Homo sapiens,ILLUMINA,2021-05-15T00:00:00Z,PGR_Rnd3_Lib1,PGR,NA,SRP319847,NA,Round-3 with Lib1
SRR14537268,NA,SELEX,101,63701306,"Promega Corporation\, Madison\, WI",PRJNA729962,SAMN19188527,Human,36489550,ST JUDE'S CHILDREN'S HOSPITAL,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10881492,Illumina HiSeq 2000,NA,PXR_Rnd3_Lib1,SINGLE,PCR,SYNTHETIC,Homo sapiens,ILLUMINA,2021-05-15T00:00:00Z,PXR_Rnd3_Lib1,PXR,NA,SRP319847,NA,Round-3 with Lib1
SRR14537269,NA,SELEX,101,135176784,"Promega Corporation\, Madison\, WI",PRJNA729962,SAMN19188526,Human,80518464,ST JUDE'S CHILDREN'S HOSPITAL,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10881491,Illumina HiSeq 2000,NA,PXR_Rnd2_Lib1,SINGLE,PCR,SYNTHETIC,Homo sapiens,ILLUMINA,2021-05-15T00:00:00Z,PXR_Rnd2_Lib1,PXR,NA,SRP319847,NA,Round-2 with Lib1
SRR14537270,NA,SELEX,101,89833339,"Promega Corporation\, Madison\, WI",PRJNA729962,SAMN19188525,Human,51668717,ST JUDE'S CHILDREN'S HOSPITAL,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10881490,Illumina HiSeq 2000,NA,CAR_Rnd3_Lib1,SINGLE,PCR,SYNTHETIC,Homo sapiens,ILLUMINA,2021-05-15T00:00:00Z,CAR_Rnd3_Lib1,CAR,NA,SRP319847,NA,Round-3 with Lib1
SRR14537271,NA,SELEX,101,86459030,"Promega Corporation\, Madison\, WI",PRJNA729962,SAMN19188524,Human,47671863,ST JUDE'S CHILDREN'S HOSPITAL,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10881489,Illumina HiSeq 2000,NA,RARG_8_Rnd2_Lib1,SINGLE,PCR,SYNTHETIC,Homo sapiens,ILLUMINA,2021-05-15T00:00:00Z,RARG_8_Rnd2_Lib1,RARG,NA,SRP319847,NA,Round-2 with Lib1 and Ligand #8
SRR14537272,NA,SELEX,101,97999896,"Promega Corporation\, Madison\, WI",PRJNA729962,SAMN19188523,Human,55184321,ST JUDE'S CHILDREN'S HOSPITAL,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10881488,Illumina HiSeq 2000,NA,RARG_Rnd3_Lib1,SINGLE,PCR,SYNTHETIC,Homo sapiens,ILLUMINA,2021-05-15T00:00:00Z,RARG_Rnd3_Lib1,RARG,NA,SRP319847,NA,Round-3 with Lib1
SRR14537273,NA,SELEX,101,113087478,"Promega Corporation\, Madison\, WI",PRJNA729962,SAMN19188522,Human,68818217,ST JUDE'S CHILDREN'S HOSPITAL,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10881487,Illumina HiSeq 2000,NA,RARG_Rnd2_Lib1,SINGLE,PCR,SYNTHETIC,Homo sapiens,ILLUMINA,2021-05-15T00:00:00Z,RARG_Rnd2_Lib1,RARG,NA,SRP319847,NA,Round-2 with Lib1
SRR14537274,NA,SELEX,101,95605691,"Promega Corporation\, Madison\, WI",PRJNA729962,SAMN19188521,Human,53575672,ST JUDE'S CHILDREN'S HOSPITAL,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10881486,Illumina HiSeq 2000,NA,RARB_8_Rnd3_Lib1,SINGLE,PCR,SYNTHETIC,Homo sapiens,ILLUMINA,2021-05-15T00:00:00Z,RARB_8_Rnd3_Lib1,RARB,NA,SRP319847,NA,Round-3 with Lib1 and Ligand #8
SRR14537275,NA,SELEX,101,103246846,"Promega Corporation\, Madison\, WI",PRJNA729962,SAMN19188520,Human,60494736,ST JUDE'S CHILDREN'S HOSPITAL,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10881485,Illumina HiSeq 2000,NA,RARB_Rnd3_Lib1,SINGLE,PCR,SYNTHETIC,Homo sapiens,ILLUMINA,2021-05-15T00:00:00Z,RARB_Rnd3_Lib1,RARB,NA,SRP319847,NA,Round-3 with Lib1
SRR14537276,NA,SELEX,101,33532404,"Promega Corporation\, Madison\, WI",PRJNA729962,SAMN19188519,Human,23244090,ST JUDE'S CHILDREN'S HOSPITAL,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10881484,Illumina HiSeq 2000,NA,RARB-RXRA_Rnd3_Lib1,SINGLE,PCR,SYNTHETIC,Homo sapiens,ILLUMINA,2021-05-15T00:00:00Z,RARB-RXRA_Rnd3_Lib1,RARB:RXRA,NA,SRP319847,NA,Round-3 with Lib1
SRR14537277,NA,SELEX,101,86981907,"Promega Corporation\, Madison\, WI",PRJNA729962,SAMN19188518,Human,48105243,ST JUDE'S CHILDREN'S HOSPITAL,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10881483,Illumina HiSeq 2000,NA,RARA_8_Rnd3_Lib1,SINGLE,PCR,SYNTHETIC,Homo sapiens,ILLUMINA,2021-05-15T00:00:00Z,RARA_8_Rnd3_Lib1,RARA,NA,SRP319847,NA,Round-3 with Lib1 and Ligand #8
SRR14537278,NA,SELEX,101,92076751,"Promega Corporation\, Madison\, WI",PRJNA729962,SAMN19188482,Human,55044970,ST JUDE'S CHILDREN'S HOSPITAL,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10881482,Illumina HiSeq 2000,NA,PGR_Rnd2_Lib1,SINGLE,PCR,SYNTHETIC,Homo sapiens,ILLUMINA,2021-05-15T00:00:00Z,PGR_Rnd2_Lib1,PGR,NA,SRP319847,NA,Round-2 with Lib1
SRR14537279,NA,SELEX,101,72819384,"Promega Corporation\, Madison\, WI",PRJNA729962,SAMN19188517,Human,41084988,ST JUDE'S CHILDREN'S HOSPITAL,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10881481,Illumina HiSeq 2000,NA,RARA_8_Rnd2_Lib1,SINGLE,PCR,SYNTHETIC,Homo sapiens,ILLUMINA,2021-05-15T00:00:00Z,RARA_8_Rnd2_Lib1,RARA,NA,SRP319847,NA,Round-2 with Lib1 and Ligand #8
SRR14537280,NA,SELEX,101,106568029,"Promega Corporation\, Madison\, WI",PRJNA729962,SAMN19188516,Human,61879578,ST JUDE'S CHILDREN'S HOSPITAL,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10881480,Illumina HiSeq 2000,NA,RARA_Rnd3_Lib1,SINGLE,PCR,SYNTHETIC,Homo sapiens,ILLUMINA,2021-05-15T00:00:00Z,RARA_Rnd3_Lib1,RARA,NA,SRP319847,NA,Round-3 with Lib1
SRR14537281,NA,SELEX,101,84234707,"Promega Corporation\, Madison\, WI",PRJNA729962,SAMN19188515,Human,51329554,ST JUDE'S CHILDREN'S HOSPITAL,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10881479,Illumina HiSeq 2000,NA,RARA_Rnd2_Lib1,SINGLE,PCR,SYNTHETIC,Homo sapiens,ILLUMINA,2021-05-15T00:00:00Z,RARA_Rnd2_Lib1,RARA,NA,SRP319847,NA,Round-2 with Lib1
SRR14537282,NA,SELEX,101,18674294,"Promega Corporation\, Madison\, WI",PRJNA729962,SAMN19188514,Human,13069772,ST JUDE'S CHILDREN'S HOSPITAL,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10881478,Illumina HiSeq 2000,NA,RARA-RXRA_Rnd3_Lib1,SINGLE,PCR,SYNTHETIC,Homo sapiens,ILLUMINA,2021-05-15T00:00:00Z,RARA-RXRA_Rnd3_Lib1,RARA:RXRA,NA,SRP319847,NA,Round-3 with Lib1
SRR14537283,NA,SELEX,101,91217645,"Promega Corporation\, Madison\, WI",PRJNA729962,SAMN19188513,Human,51498786,ST JUDE'S CHILDREN'S HOSPITAL,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10881477,Illumina HiSeq 2000,NA,THRB_7_Rnd3_Lib1,SINGLE,PCR,SYNTHETIC,Homo sapiens,ILLUMINA,2021-05-15T00:00:00Z,THRB_7_Rnd3_Lib1,THRB,NA,SRP319847,NA,Round-3 with Lib1 and Ligand #7
SRR14537284,NA,SELEX,101,94421668,"Promega Corporation\, Madison\, WI",PRJNA729962,SAMN19188512,Human,54180510,ST JUDE'S CHILDREN'S HOSPITAL,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10881476,Illumina HiSeq 2000,NA,THRB_Rnd3_Lib1,SINGLE,PCR,SYNTHETIC,Homo sapiens,ILLUMINA,2021-05-15T00:00:00Z,THRB_Rnd3_Lib1,THRB,NA,SRP319847,NA,Round-3 with Lib1
SRR14537285,NA,SELEX,101,121205050,"Promega Corporation\, Madison\, WI",PRJNA729962,SAMN19188511,Human,74850101,ST JUDE'S CHILDREN'S HOSPITAL,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10881475,Illumina HiSeq 2000,NA,THRB_Rnd2_Lib1,SINGLE,PCR,SYNTHETIC,Homo sapiens,ILLUMINA,2021-05-15T00:00:00Z,THRB_Rnd2_Lib1,THRB,NA,SRP319847,NA,Round-2 with Lib1
SRR14537286,NA,SELEX,101,24954171,"Promega Corporation\, Madison\, WI",PRJNA729962,SAMN19188510,Human,17219483,ST JUDE'S CHILDREN'S HOSPITAL,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10881474,Illumina HiSeq 2000,NA,THRB-RXRA_7_Rnd2_Lib1,SINGLE,PCR,SYNTHETIC,Homo sapiens,ILLUMINA,2021-05-15T00:00:00Z,THRB-RXRA_7_Rnd2_Lib1,THRB:RXRA,NA,SRP319847,NA,Round-2 with Lib1 and Ligand #7
SRR14537287,NA,SELEX,101,13259886,"Promega Corporation\, Madison\, WI",PRJNA729962,SAMN19188509,Human,9391383,ST JUDE'S CHILDREN'S HOSPITAL,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10881473,Illumina HiSeq 2000,NA,THRB-RXRA_Rnd3_Lib1,SINGLE,PCR,SYNTHETIC,Homo sapiens,ILLUMINA,2021-05-15T00:00:00Z,THRB-RXRA_Rnd3_Lib1,THRB:RXRA,NA,SRP319847,NA,Round-3 with Lib1
SRR14537288,NA,SELEX,101,90216331,"Promega Corporation\, Madison\, WI",PRJNA729962,SAMN19188508,Human,51177319,ST JUDE'S CHILDREN'S HOSPITAL,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10881472,Illumina HiSeq 2000,NA,THRA_7_Rnd3_Lib1,SINGLE,PCR,SYNTHETIC,Homo sapiens,ILLUMINA,2021-05-15T00:00:00Z,THRA_7_Rnd3_Lib1,THRA,NA,SRP319847,NA,Round-3 with Lib1 and Ligand #7
SRR14537289,NA,SELEX,101,118004663,"Promega Corporation\, Madison\, WI",PRJNA729962,SAMN19188481,Human,66402914,ST JUDE'S CHILDREN'S HOSPITAL,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10881471,Illumina HiSeq 2000,NA,MR_Rnd3_Lib1,SINGLE,PCR,SYNTHETIC,Homo sapiens,ILLUMINA,2021-05-15T00:00:00Z,MR_Rnd3_Lib1,MR,NA,SRP319847,NA,Round-3 with Lib1
SRR14537290,NA,SELEX,101,97282695,"Promega Corporation\, Madison\, WI",PRJNA729962,SAMN19188507,Human,57304389,ST JUDE'S CHILDREN'S HOSPITAL,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10881470,Illumina HiSeq 2000,NA,THRA_Rnd3_Lib1,SINGLE,PCR,SYNTHETIC,Homo sapiens,ILLUMINA,2021-05-15T00:00:00Z,THRA_Rnd3_Lib1,THRA,NA,SRP319847,NA,Round-3 with Lib1
SRR14537291,NA,SELEX,101,116832760,"Promega Corporation\, Madison\, WI",PRJNA729962,SAMN19188506,Human,70685657,ST JUDE'S CHILDREN'S HOSPITAL,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10881469,Illumina HiSeq 2000,NA,THRA_Rnd2_Lib1,SINGLE,PCR,SYNTHETIC,Homo sapiens,ILLUMINA,2021-05-15T00:00:00Z,THRA_Rnd2_Lib1,THRA,NA,SRP319847,NA,Round-2 with Lib1
SRR14537292,NA,SELEX,101,31012656,"Promega Corporation\, Madison\, WI",PRJNA729962,SAMN19188505,Human,21693767,ST JUDE'S CHILDREN'S HOSPITAL,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10881468,Illumina HiSeq 2000,NA,THRA-RXRA_7_Rnd2_Lib1,SINGLE,PCR,SYNTHETIC,Homo sapiens,ILLUMINA,2021-05-15T00:00:00Z,THRA-RXRA_7_Rnd2_Lib1,THRA:RXRA,NA,SRP319847,NA,Round-2 with Lib1 and Ligand #7
SRR14537293,NA,SELEX,101,41929443,"Promega Corporation\, Madison\, WI",PRJNA729962,SAMN19188504,Human,29155209,ST JUDE'S CHILDREN'S HOSPITAL,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10881467,Illumina HiSeq 2000,NA,THRA-RXRA_Rnd3_Lib1,SINGLE,PCR,SYNTHETIC,Homo sapiens,ILLUMINA,2021-05-15T00:00:00Z,THRA-RXRA_Rnd3_Lib1,THRA:RXRA,NA,SRP319847,NA,Round-3 with Lib1
SRR14537294,NA,SELEX,101,103791438,"Promega Corporation\, Madison\, WI",PRJNA729962,SAMN19188503,Human,60185491,ST JUDE'S CHILDREN'S HOSPITAL,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10881466,Illumina HiSeq 2000,NA,ESRRG_4_Rnd3_Lib1,SINGLE,PCR,SYNTHETIC,Homo sapiens,ILLUMINA,2021-05-15T00:00:00Z,ESRRG_4_Rnd3_Lib1,ESRRG,NA,SRP319847,NA,Round-3 with Lib1 and Ligand #4
SRR14537295,NA,SELEX,101,68441337,"Promega Corporation\, Madison\, WI",PRJNA729962,SAMN19188502,Human,40668407,ST JUDE'S CHILDREN'S HOSPITAL,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10881465,Illumina HiSeq 2000,NA,ESRRG_4_Rnd2_Lib1,SINGLE,PCR,SYNTHETIC,Homo sapiens,ILLUMINA,2021-05-15T00:00:00Z,ESRRG_4_Rnd2_Lib1,ESRRG,NA,SRP319847,NA,Round-2 with Lib1 and Ligand #4
SRR14537296,NA,SELEX,101,115964766,"Promega Corporation\, Madison\, WI",PRJNA729962,SAMN19188501,Human,70009213,ST JUDE'S CHILDREN'S HOSPITAL,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10881464,Illumina HiSeq 2000,NA,ESRRG_Rnd3_Lib1,SINGLE,PCR,SYNTHETIC,Homo sapiens,ILLUMINA,2021-05-15T00:00:00Z,ESRRG_Rnd3_Lib1,ESRRG,NA,SRP319847,NA,Round-3 with Lib1
SRR14537297,NA,SELEX,101,88922824,"Promega Corporation\, Madison\, WI",PRJNA729962,SAMN19188500,Human,55416686,ST JUDE'S CHILDREN'S HOSPITAL,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10881463,Illumina HiSeq 2000,NA,ESRRG_Rnd2_Lib1,SINGLE,PCR,SYNTHETIC,Homo sapiens,ILLUMINA,2021-05-15T00:00:00Z,ESRRG_Rnd2_Lib1,ESRRG,NA,SRP319847,NA,Round-2 with Lib1
SRR14537298,NA,SELEX,101,37706532,"Promega Corporation\, Madison\, WI",PRJNA729962,SAMN19188499,Human,25871609,ST JUDE'S CHILDREN'S HOSPITAL,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10881462,Illumina HiSeq 2000,NA,ESRRG-RXRA_Rnd3_Lib1,SINGLE,PCR,SYNTHETIC,Homo sapiens,ILLUMINA,2021-05-15T00:00:00Z,ESRRG-RXRA_Rnd3_Lib1,ESRRG:RXRA,NA,SRP319847,NA,Round-3 with Lib1
SRR14537299,NA,SELEX,101,98567314,"Promega Corporation\, Madison\, WI",PRJNA729962,SAMN19188498,Human,56181023,ST JUDE'S CHILDREN'S HOSPITAL,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10881461,Illumina HiSeq 2000,NA,ESRRB_4_Rnd3_Lib1,SINGLE,PCR,SYNTHETIC,Homo sapiens,ILLUMINA,2021-05-15T00:00:00Z,ESRRB_4_Rnd3_Lib1,ESRRB,NA,SRP319847,NA,Round-3 with Lib1 and Ligand #4
SRR14537300,NA,SELEX,101,77509218,"Promega Corporation\, Madison\, WI",PRJNA729962,SAMN19188480,Human,46218220,ST JUDE'S CHILDREN'S HOSPITAL,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10881460,Illumina HiSeq 2000,NA,MR_Rnd2_Lib1,SINGLE,PCR,SYNTHETIC,Homo sapiens,ILLUMINA,2021-05-15T00:00:00Z,MR_Rnd2_Lib1,MR,NA,SRP319847,NA,Round-2 with Lib1
SRR14537301,NA,SELEX,101,68890484,"Promega Corporation\, Madison\, WI",PRJNA729962,SAMN19188497,Human,41678932,ST JUDE'S CHILDREN'S HOSPITAL,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10881459,Illumina HiSeq 2000,NA,ESRRB_4_Rnd2_Lib1,SINGLE,PCR,SYNTHETIC,Homo sapiens,ILLUMINA,2021-05-15T00:00:00Z,ESRRB_4_Rnd2_Lib1,ESRRB,NA,SRP319847,NA,Round-2 with Lib1 and Ligand #4
SRR14537302,NA,SELEX,101,107195643,"Promega Corporation\, Madison\, WI",PRJNA729962,SAMN19188496,Human,60133950,ST JUDE'S CHILDREN'S HOSPITAL,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10881458,Illumina HiSeq 2000,NA,ESRRB_Rnd3_Lib1,SINGLE,PCR,SYNTHETIC,Homo sapiens,ILLUMINA,2021-05-15T00:00:00Z,ESRRB_Rnd3_Lib1,ESRRB,NA,SRP319847,NA,Round-3 with Lib1
SRR14537303,NA,SELEX,101,246568573,"Promega Corporation\, Madison\, WI",PRJNA729962,SAMN19188495,Human,148031291,ST JUDE'S CHILDREN'S HOSPITAL,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10881457,Illumina HiSeq 2000,NA,ESRRB_Rnd2_Lib1,SINGLE,PCR,SYNTHETIC,Homo sapiens,ILLUMINA,2021-05-15T00:00:00Z,ESRRB_Rnd2_Lib1,ESRRB,NA,SRP319847,NA,Round-2 with Lib1
SRR14537304,NA,SELEX,101,35146586,"Promega Corporation\, Madison\, WI",PRJNA729962,SAMN19188494,Human,24475978,ST JUDE'S CHILDREN'S HOSPITAL,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10881456,Illumina HiSeq 2000,NA,ESRRB-RXRA_Rnd3_Lib1,SINGLE,PCR,SYNTHETIC,Homo sapiens,ILLUMINA,2021-05-15T00:00:00Z,ESRRB-RXRA_Rnd3_Lib1,ESRRB:RXRA,NA,SRP319847,NA,Round-3 with Lib1
SRR14537305,NA,SELEX,101,106185946,"Promega Corporation\, Madison\, WI",PRJNA729962,SAMN19188493,Human,63467576,ST JUDE'S CHILDREN'S HOSPITAL,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10881455,Illumina HiSeq 2000,NA,ESRRA_4_Rnd3_Lib1,SINGLE,PCR,SYNTHETIC,Homo sapiens,ILLUMINA,2021-05-15T00:00:00Z,ESRRA_4_Rnd3_Lib1,ESRRA,NA,SRP319847,NA,Round-3 with Lib1 and Ligand #4
SRR14537306,NA,SELEX,101,55907338,"Promega Corporation\, Madison\, WI",PRJNA729962,SAMN19188492,Human,34288405,ST JUDE'S CHILDREN'S HOSPITAL,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10881454,Illumina HiSeq 2000,NA,ESRRA_4_Rnd2_Lib1,SINGLE,PCR,SYNTHETIC,Homo sapiens,ILLUMINA,2021-05-15T00:00:00Z,ESRRA_4_Rnd2_Lib1,ESRRA,NA,SRP319847,NA,Round-2 with Lib1 and Ligand #4
SRR14537307,NA,SELEX,101,78168041,"Promega Corporation\, Madison\, WI",PRJNA729962,SAMN19188614,Human,44153710,ST JUDE'S CHILDREN'S HOSPITAL,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10881453,Illumina HiSeq 2000,NA,COUP-TF1_Rnd3_Lib1,SINGLE,PCR,SYNTHETIC,Homo sapiens,ILLUMINA,2021-05-15T00:00:00Z,COUP-TF1_Rnd3_Lib1,COUP-TF1,NA,SRP319847,NA,Round-3
SRR14537308,NA,SELEX,101,167095612,"Promega Corporation\, Madison\, WI",PRJNA729962,SAMN19188613,Human,94796293,ST JUDE'S CHILDREN'S HOSPITAL,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10881452,Illumina HiSeq 2000,NA,Rev-ErbA-Alpha_Rnd3_Lib1,SINGLE,PCR,SYNTHETIC,Homo sapiens,ILLUMINA,2021-05-15T00:00:00Z,Rev-ErbA-Alpha_Rnd3_Lib1,Rev-ErbA-Alpha,NA,SRP319847,NA,Round-3 with Lib1
SRR14537309,NA,SELEX,101,89860306,"Promega Corporation\, Madison\, WI",PRJNA729962,SAMN19188612,Human,51380077,ST JUDE'S CHILDREN'S HOSPITAL,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10881451,Illumina HiSeq 2000,NA,VDR_10_Rnd2_Lib1,SINGLE,PCR,SYNTHETIC,Homo sapiens,ILLUMINA,2021-05-15T00:00:00Z,VDR_10_Rnd2_Lib1,VDR,NA,SRP319847,NA,Round-2 with Lib1 and Ligand #10
SRR14537310,NA,SELEX,101,35013165,"Promega Corporation\, Madison\, WI",PRJNA729962,SAMN19188611,Human,24097501,ST JUDE'S CHILDREN'S HOSPITAL,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10881450,Illumina HiSeq 2000,NA,RARG-RXRA_Rnd3_Lib1,SINGLE,PCR,SYNTHETIC,Homo sapiens,ILLUMINA,2021-05-15T00:00:00Z,RARG-RXRA_Rnd3_Lib1,RARG:RXRA,NA,SRP319847,NA,Round-3 with Lib1
SRR14537311,NA,SELEX,101,144964694,"Promega Corporation\, Madison\, WI",PRJNA729962,SAMN19188610,Human,83820366,ST JUDE'S CHILDREN'S HOSPITAL,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10881449,Illumina HiSeq 2000,NA,ESR1_6_Rnd3_Lib1,SINGLE,PCR,SYNTHETIC,Homo sapiens,ILLUMINA,2021-05-15T00:00:00Z,ESR1_6_Rnd3_Lib1,ESR1,NA,SRP319847,NA,Round-3 with Lib1 and Ligand #6
SRR14537312,NA,SELEX,51,106639368,"Promega Corporation\, Madison\, WI",PRJNA729962,SAMN19188609,Human,75334668,ST JUDE'S CHILDREN'S HOSPITAL,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10881448,Illumina HiSeq 2000,NA,Rnd3_Lib2,SINGLE,PCR,SYNTHETIC,Homo sapiens,ILLUMINA,2021-05-15T00:00:00Z,Rnd3_Lib2,Lib2,NA,SRP319847,NA,Round-3
SRR14537313,NA,SELEX,51,88169922,"Promega Corporation\, Madison\, WI",PRJNA729962,SAMN19188608,Human,61991597,ST JUDE'S CHILDREN'S HOSPITAL,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10881447,Illumina HiSeq 2000,NA,Rnd2_Lib2,SINGLE,PCR,SYNTHETIC,Homo sapiens,ILLUMINA,2021-05-15T00:00:00Z,Rnd2_Lib2,Lib2,NA,SRP319847,NA,Round-2
SRR14537314,NA,SELEX,101,101263812,"Promega Corporation\, Madison\, WI",PRJNA729962,SAMN19188491,Human,58919362,ST JUDE'S CHILDREN'S HOSPITAL,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10881446,Illumina HiSeq 2000,NA,ESRRA_Rnd3_Lib1,SINGLE,PCR,SYNTHETIC,Homo sapiens,ILLUMINA,2021-05-15T00:00:00Z,ESRRA_Rnd3_Lib1,ESRRA,NA,SRP319847,NA,Round-3 with Lib1
